country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_international,package_accomodation,package_food,package_transport_local,package_sightseeing,package_guided_tour,package_insurance,nights_stayed,payment_mode,first_trip,most_impressing,total_cost
CANADA,45-64,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10,Cash,Yes,No comments,7127250
UNITED KINGDOM,Jan-24,Alone,1,0,Scientific and Academic,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,Yes,13,Cash,Yes, Wildlife,364000
UNITED STATES OF AMERICA,25-44,Friends/Relatives,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,11,Cash,Yes, Wildlife,12597000
GERMANY,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes, Wildlife,16566109
UNITED KINGDOM,25-44,Alone,1,0,Scientific and Academic,Conference tourism,others,Independent,No,No,No,No,No,No,No,20,Cash,No,Friendly People,102610
SPAIN,45-64,Children,2,0,Leisure and Holidays,Diving and Sport Fishing,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,9,Cash,Yes,Friendly People,3978000
UNITED STATES OF AMERICA,45-64,Alone,0,1,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,19,Cash,Yes,No comments,1657500
INDIA,45-64,Alone,0,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,Cash,No,Friendly People,1243125
ITALY,45-64,Spouse,2,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Yes,No,No,12,Cash,Yes, Wildlife,10939500
SINGAPORE,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,Yes,No,11,Credit Card,Yes,No comments,15083250
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,9,Cash,Yes,Friendly People,19890000
UNITED STATES OF AMERICA,Jan-24,Alone,0,4,Leisure and Holidays,Conference tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,No,Yes,No,10,Cash,Yes,No comments,4309500
UNITED STATES OF AMERICA,25-44,Spouse,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10,Cash,Yes,Friendly People,22376250
UNITED KINGDOM,25-44,Friends/Relatives,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10,Cash,Yes,Excellent Experience,5991862.5
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Credit Card,Yes,Friendly People,7458750
FRANCE,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,14,Credit Card,Yes,"Wonderful Country, Landscape, Nature",33978750
GERMANY,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Cash,Yes,Friendly People,7127250
INDIA,25-44,Friends/Relatives,1,3,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,10,Cash,Yes,Good service,25111125
NETHERLANDS,25-44,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,12,Cash,Yes,Excellent Experience,2130000
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Cash,Yes,Friendly People,18232500
UNITED KINGDOM,45-64,Spouse and Children,2,3,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,No,Yes,Yes,No,No,3,Cash,Yes, Wildlife,19921492.5
MALAYSIA,25-44,Alone,0,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,Yes,6,Cash,Yes,Good service,4425525
LITHUANIA,25-44,Friends/Relatives,1,2,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,12,Cash,Yes, Wildlife,5635500
FRANCE,25-44,Friends/Relatives,1,2,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,No,Yes,No,10,Cash,Yes,No comments,6630000
UNITED STATES OF AMERICA,25-44,Alone,1,0,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,6,Cash,No,"Wonderful Country, Landscape, Nature",8287500
UNITED KINGDOM,45-64,Alone,0,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,13,Cash,Yes,Good service,10355982
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,5,Cash,Yes,Friendly People,2320500
FRANCE,45-64,Spouse and Children,2,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,10,Cash,Yes, Wildlife,8619000
AUSTRALIA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes, Wildlife,39862875
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes, Wildlife,16575000
NETHERLANDS,45-64,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Cash,No,Friendly People,82875
FRANCE,25-44,Spouse,1,1,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,7,Cash,Yes,No comments,24962630
FRANCE,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,7,Cash,Yes,Friendly People,8396521
POLAND,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Cash,No, Wildlife,10359375
FRANCE,45-64,Children,2,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,Yes,7,Cash,Yes, Wildlife,10773750
HUNGARY,45-64,Spouse and Children,0,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,Cash,Yes, Wildlife,7646047.5
UNITED STATES OF AMERICA,45-64,Alone,0,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,7,Cash,Yes,No comments,21713250
UNITED KINGDOM,Jan-24,Friends/Relatives,2,0,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,No,No,25,Cash,Yes,No comments,3698565
UNITED STATES OF AMERICA,45-64,Alone,1,0,Leisure and Holidays,Conference tourism,"Radio, TV, Web",Package Tour,No,Yes,No,Yes,Yes,Yes,No,13,Cash,Yes,Friendly People,10939500
AUSTRALIA,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes,Friendly People,45001125
UNITED STATES OF AMERICA,25-44,Spouse,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,5,Cash,Yes,Good service,15497625
UNITED STATES OF AMERICA,45-64,Spouse,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,No,No,16,Cash,Yes,Friendly People,16906500
GERMANY,45-64,Alone,0,1,Meetings and Conference,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,5,Credit Card,Yes,Friendly People,828750
NETHERLANDS,25-44,Friends/Relatives,0,2,Business,Wildlife tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,No,No,7,Cash,No,Friendly People,5967000
UNITED STATES OF AMERICA,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,15,Cash,Yes, Wildlife,10110750
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,Yes,12,Credit Card,Yes, Wildlife,21547500
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15,Cash,Yes, Wildlife,24862500
UNITED STATES OF AMERICA,45-64,Alone,7,2,Scientific and Academic,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,14,Cash,Yes,Friendly People,8038875
NETHERLANDS,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,5,Credit Card,Yes,Friendly People,4143750
NETHERLANDS,45-64,Spouse and Children,3,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,7,Cash,Yes,No comments,17403750
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,Cash,No,No comments,6795750
UNITED STATES OF AMERICA,Jan-24,Friends/Relatives,0,2,Scientific and Academic,Hunting tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,No,No,Yes,No,14,Credit Card,Yes,Friendly People,15829125
UNITED STATES OF AMERICA,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11,Cash,Yes,Good service,6464250
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,1,Credit Card,No,Friendly People,9945000
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,4,Cash,Yes, Wildlife,2486250
AUSTRALIA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,Credit Card,Yes, Wildlife,8349037
GERMANY,25-44,Alone,0,1,Leisure and Holidays,Conference tourism,"Newspaper, magazines,brochures",Package Tour,No,Yes,Yes,Yes,No,Yes,No,9,Cash,Yes,Good service,3812250
UNITED STATES OF AMERICA,45-64,Spouse and Children,0,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,20,Cash,Yes,Friendly People,19227000
FRANCE,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,2,Cash,Yes,Friendly People,2154750
AUSTRALIA,25-44,Friends/Relatives,1,1,Leisure and Holidays,Conference tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,Cash,Yes,Friendly People,1989000
UNITED STATES OF AMERICA,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,Cash,Yes,Friendly People,3895125
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,9,Cash,No,Excellent Experience,11602500
AUSTRALIA,25-44,Alone,1,0,Meetings and Conference,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,14,Cash,Yes,Friendly People,2000000
UNITED STATES OF AMERICA,25-44,Friends/Relatives,0,2,Business,Hunting tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,2,Credit Card,Yes,Friendly People,663000
KENYA,25-44,Alone,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,Cash,No,Friendly People,3315000
SOUTH AFRICA,65+,Spouse,1,1,Leisure and Holidays,Cultural tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,6,Cash,No,Good service,10442250
NETHERLANDS,Jan-24,Friends/Relatives,3,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,Credit Card,No, Wildlife,27348750
CANADA,45-64,Spouse and Children,1,3,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13,Credit Card,Yes,"Wonderful Country, Landscape, Nature",30378270
UNITED STATES OF AMERICA,45-64,Friends/Relatives,1,1,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,Cash,Yes,Friendly People,3149250
FRANCE,25-44,Friends/Relatives,4,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Cash,Yes,No comments,4538660
UNITED STATES OF AMERICA,25-44,Spouse,1,1,Scientific and Academic,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,14,Cash,Yes,"Wonderful Country, Landscape, Nature",15331875
UNITED STATES OF AMERICA,45-64,Alone,0,1,Visiting Friends and Relatives,Hunting tourism,others,Independent,No,No,No,No,No,No,No,14,Cash,No,Friendly People,2817750
UNITED STATES OF AMERICA,45-64,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,13,Cash,Yes,Satisfies and Hope Come Back,4641000
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,6,Cash,Yes,Friendly People,29835000
UNITED STATES OF AMERICA,25-44,Spouse,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Cash,Yes,Friendly People,7707375
UNITED STATES OF AMERICA,65+,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes, Wildlife,22210500
CANADA,45-64,Children,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,13,Cash,Yes,Good service,28177500
IRELAND,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes,Friendly People,17403750
FRANCE,45-64,Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Cash,Yes, Wildlife,16112243
UGANDA,25-44,Spouse,1,1,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Cash,No,Friendly People,994500
AUSTRALIA,25-44,Alone,1,0,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,23,Cash,Yes, Wildlife,1410000
FRANCE,45-64,Spouse,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,Cash,Yes,No comments,23702250
DENMARK,Jan-24,Alone,1,0,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,Cash,No,No comments,600000
CANADA,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10,Cash,Yes, Wildlife,7956000
UNITED STATES OF AMERICA,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,3,Cash,Yes, Wildlife,58675500
UNITED STATES OF AMERICA,45-64,Spouse and Children,3,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,14,Cash,Yes,Friendly People,36879375
UNITED STATES OF AMERICA,65+,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Credit Card,Yes,Friendly People,12182625
UNITED STATES OF AMERICA,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,No,Friendly People,5304000
BELGIUM,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Cash,Yes, Wildlife,13425750
UNITED STATES OF AMERICA,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Cash,No,Friendly People,1629100
UNITED STATES OF AMERICA,45-64,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,21,Cash,Yes,Friendly People,43095000
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Credit Card,Yes,No comments,11105250
UNITED STATES OF AMERICA,Jan-24,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,13,Cash,Yes,Friendly People,5635500
ITALY,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Cash,Yes,"Wonderful Country, Landscape, Nature",248625
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,Cash,Yes,Friendly People,25525500
FRANCE,45-64,Spouse and Children,2,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,7,Cash,Yes,Excellent Experience,8950500
UNITED STATES OF AMERICA,45-64,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,14,Credit Card,Yes,No comments,16989375
CANADA,45-64,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,Credit Card,No,Friendly People,2486250
EGYPT,25-44,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,Cash,Yes,Friendly People,3315000
NETHERLANDS,45-64,Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,7,Cash,Yes, Wildlife,1657500
GERMANY,45-64,Spouse and Children,2,3,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,Cash,Yes,Good service,35719125
UNITED KINGDOM,45-64,Alone,0,1,Business,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,24,Cash,No,Friendly People,4972500
FRANCE,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,12,Cash,Yes, Wildlife,3403995
ITALY,45-64,Spouse and Children,1,3,Leisure and Holidays,Wildlife tourism,Trade fair,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,Cash,Yes, Wildlife,17403750
ITALY,45-64,Children,1,2,Leisure and Holidays,Cultural tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,14,Cash,No,No comments,14917500
UNITED STATES OF AMERICA,25-44,Friends/Relatives,7,0,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,6,Cash,Yes,Friendly People,6795750
ITALY,Jan-24,Spouse,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,9,Cash,Yes,Friendly People,11573583
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,13,Cash,Yes,No comments,20718750
EGYPT,25-44,Alone,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,23,Cash,Yes, Wildlife,5304000
NETHERLANDS,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,12,Credit Card,Yes, Wildlife,21558635
UNITED KINGDOM,Jan-24,Alone,1,0,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,29,Cash,Yes,Friendly People,404000
UNITED KINGDOM,Jan-24,Alone,1,0,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,30,Cash,Yes,Friendly People,154000
CANADA,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,No,Yes,No,Yes,No,9,Cash,Yes,Friendly People,8287500
UNITED KINGDOM,Jan-24,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,Yes,24,Cash,Yes, Wildlife,155300
AUSTRALIA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,10,Credit Card,Yes,Friendly People,41437500
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,3,Credit Card,Yes,"Wonderful Country, Landscape, Nature",20718750
INDIA,25-44,Alone,0,1,Meetings and Conference,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,5,Cash,No,No comments,663000
UNITED STATES OF AMERICA,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,12,Cash,Yes,Friendly People,13906425
NETHERLANDS,Jan-24,Alone,1,0,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,Cash,Yes,"Wonderful Country, Landscape, Nature",828750
CANADA,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,5,Credit Card,Yes,"Wonderful Country, Landscape, Nature",10276500
UNITED STATES OF AMERICA,25-44,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,14,Cash,Yes, Wildlife,14088750
KENYA,25-44,Friends/Relatives,0,2,Meetings and Conference,Mountain climbing,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,No,No,No,4,Cash,Yes,"Wonderful Country, Landscape, Nature",602750
NETHERLANDS,45-64,Alone,0,1,Meetings and Conference,Wildlife tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,3,Credit Card,No,Good service,994500
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,12,Cash,Yes, Wildlife,33150000
UNITED STATES OF AMERICA,25-44,Alone,0,1,Volunteering,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,10,Cash,Yes,Friendly People,3315000
NORWAY,25-44,Alone,0,1,Volunteering,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,Cash,Yes,Good service,2652000
ITALY,Jan-24,Friends/Relatives,0,2,Leisure and Holidays,Cultural tourism,"Friends, relatives",Package Tour,Yes,No,No,No,No,No,Yes,25,Cash,Yes,Good service,3154368.7
KENYA,25-44,Friends/Relatives,1,1,Meetings and Conference,Mountain climbing,"Friends, relatives",Package Tour,Yes,Yes,No,No,No,Yes,No,4,Cash,Yes,Good service,502750
UNITED STATES OF AMERICA,65+,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,Cash,Yes, Wildlife,10608000
UNITED STATES OF AMERICA,45-64,Children,2,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,11,Cash,Yes,Friendly People,13342875
AUSTRIA,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,12,Cash,Yes, Wildlife,6013724.5
KENYA,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,No,No,No,2,Cash,Yes,Friendly People,1170312
AUSTRALIA,25-44,Friends/Relatives,3,0,Leisure and Holidays,Conference tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,Credit Card,Yes,Friendly People,663000
SOUTH AFRICA,45-64,Friends/Relatives,0,3,Business,Wildlife tourism,Trade fair,Independent,No,No,No,No,No,No,No,4,Credit Card,No,Friendly People,3978000
SOUTH AFRICA,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,No,No,Yes,0,Cash,Yes,"Wonderful Country, Landscape, Nature",50553750
SWEDEN,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,Cash,Yes,Friendly People,2652000
NEW ZEALAND,45-64,Alone,0,1,Business,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,No,No,No,No,No,24,Cash,No,"Wonderful Country, Landscape, Nature",203000
